dispatch_ts,mode_type,location_type,street,xstreet1,xstreet2,x_cord,y_cord,lat,long
2017-03-23 08:37:30+00,mv,Street,NEPONSET VALLEY PKWY,HYDE PARK AVE,HAMILTON ST,756027.080000000000,2911536.740000000000,42.2370044034122,-71.13114424924908
2016-12-31 18:37:20+00,bike,Intersection,,BOYLSTON ST,TREMONT ST,773874.300000000000,2953738.160000000000,42.352383482229314,-71.06453801314743
2021-05-14 13:55:05+00,mv,Street,PARKER ST,HUNTINGTON AVE,RUGGLES ST,766372.800000000000,2948677.100000000000,42.33866651219464,-71.09257765718012
2017-05-22 19:34:38+00,ped,Intersection,,QUINCY ST,COLEMAN ST,773640.480000000000,2937784.130000000000,42.30860833257252,-71.06570363989351
2019-08-14 20:00:58+00,mv,Intersection,,MAIN ST,BEACHAM ST,770982.980000000000,2965632.930000000000,42.385062917212146,-71.07501504617561
2021-10-26 19:27:14+00,mv,Street,BOARDMAN ST,ASHLEY ST,LEYDEN ST,787818.230000000000,2967755.520000000000,42.390734440895194,-71.01245700209972
2017-12-08 19:46:45+00,mv,Street,DORCHESTER AVE,DEWAR ST,HOYT ST,775585.330000000000,2937893.670000000000,42.30883754329418,-71.05814839968284
2023-08-19 12:06:41+00,bike,Street,SHANDON RD,FRANKLIN HILL AVE,FERMOY HEIGHTS AVE,767352.940000000000,2932877.850000000000,42.295111164441515,-71.08914115730086
2022-10-18 19:23:56+00,mv,Intersection,,WASHINGTON ST,ASHMONT ST,772201.730000000000,2929303.110000000000,42.285355928406275,-71.07118025597012
2022-12-30 18:31:58+00,bike,Intersection,,BLUE HILL AVE,DEVON ST,769346.790000000000,2938576.880000000000,42.31084259429739,-71.0815626684503
2017-09-29 20:13:13+00,mv,Street,BOYLSTON ST,DALTON ST,SAINT CECILIA ST,768100.660000000000,2952122.550000000000,42.34783899039185,-71.08589919646471
2015-07-27 18:56:36+00,mv,Intersection,,GALLIVAN BLVD,RITA RD,777645.120000000000,2928562.360000000000,42.283246381487565,-71.05107833775622
2015-11-11 00:18:44+00,mv,Other,,NULL,NULL,771636.620000000000,2955495.870000000000,42.35723773819477,-71.07278366722522
2020-09-02 13:04:41+00,mv,Street,HANCOCK ST,WHITTEMORE TER,GLENDALE ST,773698.560000000000,2939598.280000000000,42.3136481355566,-71.06525962969424
2021-12-24 12:39:48+00,mv,Intersection,,BROOKLINE AVE,JERSEY ST,764586.340000000000,2951665.650000000000,42.346821482648544,-71.09893467676315
2016-12-26 09:08:47+00,mv,Street,WILLIAM J DAY BLVD,WILLIAM T MORRISSEY BLVD,BABE RUTH PARK DR,778145.160000000000,2943236.140000000000,42.32350499741081,-71.04894679602192
2015-10-12 16:20:29+00,mv,Intersection,,BRAINERD RD,HARVARD AVE,756178.250000000000,2952500.110000000000,42.34921559071152,-71.1300241389375
2023-10-18 19:45:32+00,bike,Street,HUNTINGTON AVE,CASTLETON ST,PERKINS ST,761354.660000000000,2942888.700000000000,42.32272939527922,-71.11215911704164
2023-08-06 19:01:46+00,mv,Intersection,,HUMBOLDT AVE,RUTHVEN ST,767085.640000000000,2939220.910000000000,42.31263999100794,-71.08991079723663
2017-02-19 12:02:32+00,mv,Intersection,,BRIGHTON AVE,ALLSTON ST,754978.700000000000,2953962.660000000000,42.353243074332994,-71.13443843605396
2015-05-13 09:43:12+00,mv,Intersection,,NIGHTINGALE ST,BERNARD ST,769596.350000000000,2933074.370000000000,42.29574004775443,-71.08074006147747
2017-06-17 11:21:45+00,mv,Street,TREMONT ST,COLUMBUS AVE,RUGGLES ST,767306.510000000000,2947508.370000000000,42.33498526697706,-71.08858923407013
2023-09-11 08:33:08+00,mv,Intersection,,PLEASANT HILL AVE,SAINT GREGORY ST,771974.420000000000,2925775.600000000000,42.27567934613389,-71.07208571496878
2016-03-17 02:40:23+00,mv,Intersection,,HANOVER ST,CROSS ST,776220.330000000000,2957461.690000000000,42.362567709665434,-71.05578718721327
2016-03-22 09:50:00+00,mv,Intersection,,CEDAR ST,COLUMBUS AVE,765144.070000000000,2944867.370000000000,42.328159539021854,-71.09699041115762
2019-10-04 19:54:08+00,mv,Other,,,,761211.310000000000,2953097.500000000000,42.350793409620195,-71.11139529467992
2020-10-30 18:40:26+00,mv,Street,MASSPORT HAUL RD,PUMPHOUSE RD,RAMP,780612.890000000000,2951481.600000000000,42.34594423999824,-71.0398157072783
2018-07-26 02:27:49+00,bike,Street,ADAMS ST,HECLA ST,LYON ST,774634.950000000000,2936858.950000000000,42.30611063404324,-71.06183655469977
2018-03-21 17:32:00+00,mv,Street,HYDE PARK AVE,THATCHER ST,WESTMINSTER ST,758607.470000000000,2921616.800000000000,42.264420743507074,-71.12132114822948